molecule_chembl_id,pref_name,formula,best_ic50_nM,total_assays,ml_class
CHEMBL385677,PorphyrinPt(II) conjugate,C86H132N10O26Pt2,4400.0,1,Active
CHEMBL405707,"4'-chloro-2,2':6,2''-Terpyridineplatinum (II) complex",C42H32N12O12Pt2+8,710.0,6,Active
CHEMBL407341,Platinum complex,C44H28Cl2N12O12Pt2+8,620.0,5,Active
CHEMBL407396,PorphyrinPt(II) conjugate,C68H100N10O18Pt2,3050.0,1,Active
CHEMBL410609,"4'-chloro-2,2':6,2''-Terpyridineplatinum (II) complex",C50H32Cl2N12O12Pt2+8,1800.0,5,Active
CHEMBL413296,"2,6-bis[(3,3-dimethylbutan-2-yl)oxy]-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C14H28O2PtS4,5000.0,12,Active
CHEMBL414804,OXALIPLATIN,C8H12N2O4Pt,270.0,4,Active
CHEMBL415294,"(2,2':6',2''-terpyridine)platinum (II) complex",C20H16B2F8N4Pt+4,5700.0,6,Active
CHEMBL415807,Platinum complex,C50H40Cl2N18O18Pt3+10,420.0,6,Active
CHEMBL417616,"(Thiophenolato)(2,2':6',2''-terpyridine)platinum (II) Chloride Monohydrate",C21H16ClN3PtS+3,6000.0,1,Active
CHEMBL418538,"(Ethylenediamine)(1,10-phenanthroline)-platinum (II) dichloride Dihydrate",C14H14Cl2N4Pt-,2000.0,1,Active
CHEMBL419256,"2,6-bis(propan-2-yloxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C8H16O2PtS4,3000.0,12,Active
CHEMBL430691,trans-Amminetetrachloro(cyclohexylamine)-platinium (IV),C6H14Cl4N2Pt,1500.0,8,Active
CHEMBL431774,,C5H20Cl4N4Pt2+4,63.68,54,Active
CHEMBL432005,AMMONIO(DICHLORO)[DI(METHYLCARBONYLOXY)]PLATINUM(CYCLOHEXYL)AMMONIUM,C10H20Cl2N2O4Pt,300.0,8,Active
CHEMBL435547,Cis-Platinum (II) Conjugate,C9H14N2O4Pt,1049.54,70,Active
CHEMBL441000,camphorato platinum complex derivative,C17H30N2O4Pt,460.0,4,Active
CHEMBL447841,"2,6-bis(3-methylbutoxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C12H24O2PtS4,6000.0,12,Active
CHEMBL607792,3-aminotubercidin-dichloroplatinum (II),C11H13Cl2N5O4Pt,8960.0,1,Active
CHEMBL608256,2-(9-acridiniumylamino)ethyl(methyl)amino(imino)methyl(methyl)amine1-PtCl(en),C19H25ClN6PtS,130.0,3,Active
CHEMBL611190,Pt(II) Complex,C14H38Cl6N6Pt3+4,6000.0,4,Active
CHEMBL611449,Acridinylthiourea derivative and platinum conjugate,C20H29ClN6PtS+2,10.0,8,Active
CHEMBL611723,Platinum complex,C15H16B2F8N3OPt+,7000.0,6,Active
CHEMBL6397,"(2,2':6',2''-terpyridine)platinum (II) complex",C21H18B2F8N4OPt+4,5000.0,6,Active
CHEMBL6513,Platinum complex,C20H15B2F9N4Pt+4,6100.0,6,Active
CHEMBL6614,"(2,2':6',2''-terpyridine)platinum (II) complex",C22H21B2F8N5Pt+4,3950.0,6,Active
CHEMBL6688,Platinum complex,C21H17B2BrF8N4Pt+4,1500.0,6,Active
CHEMBL6739,Platinum complex,C25H27B2F8N5O2Pt+4,1800.0,5,Active
CHEMBL6757,Platinum complex,C21H18B2F8N4Pt+4,4400.0,6,Active
CHEMBL6763,"(2,2':6',2''-terpyridine)platinum (II) complex",C20H15B2BrF8N4Pt+4,850.0,6,Active
CHEMBL6811,"(2,2':6',2''-terpyridine)platinum (II) complex",C28H24B2F8N4Pt+4,900.0,6,Active
CHEMBL6961,Platinum complex,C22H22B2F8N6Pt+4,3700.0,6,Active
CHEMBL6963,"(2,2':6',2''-terpyridine)platinum (II) complex",C15H13B2F8N4Pt+3,3750.0,6,Active
CHEMBL70555,Platinum complex,C10H10Cl2N2Pt+2,222.33,59,Active
CHEMBL72018,"2,6-dipropoxy-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C8H16O2PtS4,4000.0,12,Active
CHEMBL72313,"2,6-bis(2-methylpropoxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C10H20O2PtS4,9000.0,12,Active
CHEMBL72640,"2,6-bis(cyclopentyloxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C12H20O2PtS4,3000.0,12,Active
CHEMBL72641,"2,6-dicyclobutoxy-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C10H16O2PtS4,3000.0,12,Active
CHEMBL72647,"2,6-bis(2-methylbutoxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C12H24O2PtS4,9000.0,12,Active
CHEMBL73585,"2,6-bis(pentyloxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C12H24O2PtS4,9000.0,12,Active
CHEMBL73617,"2,6-dimethoxy-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C4H8O2PtS4,7000.0,12,Active
CHEMBL75705,"2,6-bis(pentan-3-yloxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C12H24O2PtS4,3000.0,12,Active
CHEMBL82530,Dinuclear trans-platinum complex,C16H32Cl2N6Pt2+6,2300.0,2,Active
CHEMBL93925,Platinum complex,C21H18N6O6Pt+3,5.0,1,Active
CHEMBL94326,Platinum complex,C21H22N4O8PtS+3,25.0,1,Active
CHEMBL94593,"4-Mercaptoethanol-(2,2':6',4'-chloro,2''-terpyridine)platinum (II) Nitrate",C17H15ClN4O4PtS+3,30.0,1,Active
CHEMBL94699,"4-Mercaptopyridine (4'-chloro-2,2':6',2''-terpyridine)platinum (II) Nitrate",C20H14ClN5O3PtS+3,4.0,6,Active
CHEMBL94700,"4-Mercaptoethanol-(2,2':6',2''-terpyridine)platinum (II) Nitrate",C17H16N4O4PtS+3,35.0,1,Active
CHEMBL96528,"2-Mercaptopyridine (4'-chloro-2,2':6',2''-terpyridine)platinum (II) Nitrate",C20H14ClN5O3PtS+3,6.0,1,Active
CHEMBL96660,"2-Mercaptoimidazole Bis[(4'-chloro-2,2':6',2''-terpyridine)platinum (II)] Trinitrate",C33H23Cl2N9O3Pt2S+8,3.0,1,Active
CHEMBL96737,Platinum complex,C32H25N8O3Pt2S+7,2.0,6,Active
CHEMBL98573,"1,10-Phenanthrolineplatinum (II) Benzoylthiourea Complex",C24H23ClN5O5PtS+,1925.0,2,Active
CHEMBL98680,Platinum complex,C14H32Cl6N6Pt3,5000.0,6,Active
CHEMBL98789,"1,10-Phenanthrolineplatinum (II) Benzoylthiourea Complex",C24H28ClN4O3PtS+,295.0,3,Active
CHEMBL99425,"1,10-Phenanthrolineplatinum (II) Benzoylthiourea Complex",C25H26ClN4O3PtS+,308.0,2,Active
